Item ID,Category,Item Name,Current Quantity,Min Quantity,Reorder Trigger,Reorder Quantity,Subcategory,Unit,Supplier,Unit Cost,Total Value,Location,Last Ordered,Last Count Date,Product Number,Order Number,Last Order Quantity,Package Size,Is Sharpenable,Is Consumable,Status,Notes,Unit Weight (g),Pieces per 100g,Reorder URL,Specifications
TCS-ADH-EPOXY-01,Adhesives,West Systems Epoxy,0.0,1,1,2,Epoxy,Kit,West System,$0.00,$0.00,Wall Bin G4,MM/DD/YYYY,MM/DD/YYYY,105/206,,,,No,,,,,,,"{""product_number"": ""105/206"", ""name"": ""West Systems Epoxy"", ""supplier"": ""West System"", ""type"": ""Two-part epoxy resin"", ""mix_ratio"": {""part_a"": 5, ""part_b"": 1, ""by"": ""volume""}, ""working_time"": {""min"": 20, ""max"": 25, ""unit"": ""minutes"", ""temperature"": 72}, ""cure_time"": {""initial"": {""min"": 10, ""max"": 15, ""unit"": ""hours""}, ""full"": {""min"": 1, ""max"": 4, ""unit"": ""days""}}, ""temperature_range"": {""min"": 60, ""max"": null, ""unit"": ""fahrenheit""}, ""coverage"": null, ""voc_content"": {""value"": 0, ""unit"": ""very low""}, ""water_resistant"": true, ""fda_approved"": false}"
TCS-ADH-GLUE-01,Adhesives,Titebond II Premium Wood Glue,0.0,2,3,4,Glue,Bottle,Richelieu,$18.50,$0.00,Wall Bin G2,12/26/2024,MM/DD/YYYY,150050009,NZ49156,,,No,Yes,,"Product #150050009, Water-resistant, FDA approved for indirect food contact, Order #NZ49156",,,https://www.richelieu.com/us/en/search?text=150050009,"{""product_number"": ""150050009"", ""name"": ""Titebond II Premium Wood Glue"", ""supplier"": ""Richelieu"", ""type"": ""Cross-linking polyvinyl acetate"", ""mix_ratio"": {""part_a"": 1, ""part_b"": 0, ""by"": ""single component""}, ""working_time"": {""min"": 3, ""max"": 5, ""unit"": ""minutes"", ""temperature"": 70}, ""cure_time"": {""initial"": {""min"": null, ""max"": null, ""unit"": null}, ""full"": {""min"": 24, ""max"": 24, ""unit"": ""hours""}}, ""temperature_range"": {""min"": 55, ""max"": null, ""unit"": ""fahrenheit""}, ""coverage"": null, ""voc_content"": {""value"": 5.5, ""unit"": ""g/L""}, ""water_resistant"": true, ""fda_approved"": true, ""reorder_url"": ""https://www.richelieu.com/us/en/search?text=150050009""}"
TCS-ADH-GLUE-02,Adhesives,Titebond Speed Set Wood Glue - 4366,1.0,2,3,4,Glue,Bottle,Richelieu,$22.00,$0.00,Wall Bin G3,12/26/2024,MM/DD/YYYY,150043609,NZ49156,,,No,Yes,,"Product #150043609, Fast-setting, reaches 60% strength in 20 minutes, Order #NZ49156",,,https://www.richelieu.com/us/en/search?text=150043609,"{""product_number"": ""150043609"", ""name"": ""Titebond Speed Set Wood Glue - 4366"", ""supplier"": ""Richelieu"", ""type"": ""High solids PVA adhesive"", ""mix_ratio"": {""part_a"": 1, ""part_b"": 0, ""by"": ""single component""}, ""working_time"": {""min"": 2, ""max"": 4, ""unit"": ""minutes"", ""temperature"": 70}, ""cure_time"": {""initial"": {""min"": 15, ""max"": 15, ""unit"": ""minutes""}, ""full"": {""min"": 24, ""max"": 24, ""unit"": ""hours""}}, ""temperature_range"": {""min"": 59, ""max"": null, ""unit"": ""fahrenheit""}, ""coverage"": {""value"": 250, ""unit"": ""sq ft/gallon""}, ""voc_content"": null, ""water_resistant"": false, ""fda_approved"": false, ""reorder_url"": ""https://www.richelieu.com/us/en/search?text=150043609""}"
TCS-ADH-PELLET-01,Adhesives,Jowatherm 280.3 Unfilled Granular Hot Melt Adhesive,0.0,1,2,3,Edge Banding,Bag,Richelieu,$65.00,$0.00,Edge Banding Area,02/12/2025,MM/DD/YYYY,JW2803044,N311146,,,No,Yes,,"Product #JW2803044, Unfilled granular EVA adhesive for automatic edge banding machines, Order #N311146",,,https://www.richelieu.com/us/en/search?text=JW2803044,"{""product_number"": ""JW2803044"", ""name"": ""Jowatherm 280.3 Unfilled Granular Hot Melt Adhesive"", ""supplier"": ""Richelieu"", ""type"": ""EVA hot melt adhesive"", ""mix_ratio"": {""part_a"": 1, ""part_b"": 0, ""by"": ""single component""}, ""working_time"": {""min"": null, ""max"": null, ""unit"": null, ""temperature"": 180}, ""cure_time"": {""initial"": {""min"": 1, ""max"": 2, ""unit"": ""seconds""}, ""full"": {""min"": 1, ""max"": 1, ""unit"": ""minutes""}}, ""temperature_range"": {""min"": 180, ""max"": 200, ""unit"": ""celsius""}, ""coverage"": null, ""voc_content"": {""value"": 0, ""unit"": ""none""}, ""water_resistant"": true, ""fda_approved"": false, ""reorder_url"": ""https://www.richelieu.com/us/en/search?text=JW2803044""}"
TCS-BLADE-SAW-02,Blades,12 inch Chop Saw Blades,0,1,1,2,Saw Blades,Each,TBD,$0.00,$0.00,Blade Storage,MM/DD/YYYY,MM/DD/YYYY,,,,,Yes,Yes,,Added during inventory research - not in original inventory. Can be sharpened,,,,"{""diameter"": {""value"": 12, ""unit"": ""inches""}, ""arbor"": ""Standard"", ""tooth_count"": ""Variable"", ""application"": [""Crosscutting"", ""Mitering""], ""material"": ""Carbide tipped"", ""sharpenable"": true}"
TCS-BLADE-SAW-03,Blades,10 inch Table Saw Blades,0,1,1,2,Saw Blades,Each,TBD,$0.00,$0.00,Blade Storage,MM/DD/YYYY,MM/DD/YYYY,,,,,Yes,Yes,,Added during inventory research - not in original inventory. Can be sharpened,,,,"{""diameter"": {""value"": 10, ""unit"": ""inches""}, ""arbor"": ""5/8 inch"", ""tooth_count"": ""Variable"", ""application"": [""Ripping"", ""Crosscutting""], ""material"": ""Carbide tipped"", ""sharpenable"": true}"
TCS-CNC-BIT-01,CNC,Amana Tool CNC Router Bit,0.0,1,2,2,Bits,Each,Amana Tool,$84.46,$0.00,CNC Cabinet,12/26/2024,MM/DD/YYYY,46180-K,,,,No,Yes,,"Part #46704-K, 3 Inch Long 2 Flute",,,https://www.amanatool.com/46180-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-1-4-inch-x-3-8-shank.html,"{""product_number"": ""46180-K"", ""name"": ""Amana Tool CNC Router Bit"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": 0.125, ""unit"": ""inches""}, ""cutting_height"": {""value"": 0.8125, ""unit"": ""inches""}, ""shank_diameter"": {""value"": 0.125, ""unit"": ""inches""}, ""overall_length"": {""value"": 2.5, ""unit"": ""inches""}, ""flutes"": 2, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite"", ""hardness"": {""value"": 4500, ""unit"": ""Vickers""}}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": [""Melamine"", ""Laminate"", ""MDF"", ""Plywood""], ""reorder_url"": ""https://www.amanatool.com/46180-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-1-4-inch-x-3-8-shank.html""}"
TCS-CNC-BIT-02,CNC,"Amana Tool CNC Router Bit (3/8"" Compression)",0.0,1,2,2,Bits,Each,Amana Tool,$61.40,$0.00,CNC Cabinet,03/18/2025,MM/DD/YYYY,46704-K,,,,No,Yes,,"Part #46055-K, 2-½ Inch Long 3 Flute",,,https://www.amanatool.com/46704-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-1-4-inch-x-3-8-shank.html,"{""product_number"": ""46704-K"", ""name"": ""Amana Tool CNC Router Bit (3/8\"" Compression)"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": 0.375, ""unit"": ""inches""}, ""cutting_height"": {""value"": 1.25, ""unit"": ""inches""}, ""shank_diameter"": {""value"": 0.375, ""unit"": ""inches""}, ""overall_length"": {""value"": 3, ""unit"": ""inches""}, ""flutes"": 2, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite"", ""hardness"": {""value"": 4500, ""unit"": ""Vickers""}}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": [""Birch plywood"", ""Laminate"", ""MDF"", ""Double-sided melamine""], ""bit_type"": ""compression"", ""optimized_for"": ""Birch plywood"", ""reorder_url"": ""https://www.amanatool.com/46704-k-spektra-solid-carbide-compression-spiral-3-8-dia-x-1-1-4-inch-x-3-8-shank.html""}"
TCS-CNC-BIT-03,CNC,"Amana Tool CNC Router Bit (3/8"" Down-cut)",0.0,1,2,2,Bits,Each,Amana Tool,$0.00,$0.00,CNC Cabinet,MM/DD/YYYY,MM/DD/YYYY,46055-K,,,,No,,,,,,https://www.amanatool.com/46055-k-spektra-solid-carbide-down-cut-spiral-3-8-dia-x-1-inch-x-3-8-shank.html,"{""product_number"": ""46055-K"", ""name"": ""Amana Tool CNC Router Bit (3/8\"" Down-cut)"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": 0.375, ""unit"": ""inches""}, ""cutting_height"": {""value"": 1, ""unit"": ""inches""}, ""shank_diameter"": {""value"": 0.375, ""unit"": ""inches""}, ""overall_length"": {""value"": 2.5, ""unit"": ""inches""}, ""flutes"": 3, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite"", ""hardness"": {""value"": 4500, ""unit"": ""Vickers""}}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": [""Laminate"", ""Melamine"", ""MDF"", ""Veneered plywood"", ""Wood""], ""bit_type"": ""down-cut"", ""surface_finish"": ""smooth top edge"", ""reorder_url"": ""https://www.amanatool.com/46055-k-spektra-solid-carbide-down-cut-spiral-3-8-dia-x-1-inch-x-3-8-shank.html""}"
TCS-CNC-BIT-04,CNC,Amana Tool CNC Router Bit (VERIFY SPECS - May be discontinued/renamed),0.0,1,2,2,Bits,Each,Amana Tool,$43.78,$0.00,CNC Cabinet,12/11/2024,MM/DD/YYYY,46168-K,,,,No,Yes,,"Part #46125-K, 2-1/2 Inch Long Up-Cut",,,https://www.amanatool.com/46125-k-spektra-solid-carbide-up-cut-spiral-1-8-dia-x-13-16-inch-x-1-4-shank.html,"{""product_number"": ""46168-K"", ""name"": ""Amana Tool CNC Router Bit (VERIFY SPECS - May be discontinued/renamed)"", ""supplier"": ""Amana Tool"", ""diameter"": {""value"": null, ""unit"": ""inches"", ""note"": ""Conflicting info: 1/2\"" vs 3/8\"" - needs verification""}, ""cutting_height"": {""value"": null, ""unit"": ""inches""}, ""shank_diameter"": {""value"": null, ""unit"": ""inches""}, ""overall_length"": {""value"": null, ""unit"": ""inches""}, ""flutes"": null, ""material"": ""Solid carbide"", ""coating"": {""type"": ""nACo nanocomposite (presumed)"", ""hardness"": null}, ""rpm_range"": {""min"": null, ""max"": null}, ""feed_rate"": null, ""compatible_materials"": null, ""bit_type"": ""compression (presumed)"", ""surface_finish"": null, ""verification_needed"": true, ""notes"": [""Part number may be discontinued or renamed"", ""Similar to 46162-K which became 46172-K"", ""Need to verify current part number with Richelieu"", ""Conflicting diameter specifications found (1/2\"" vs 3/4\"")""], ""reorder_url"": ""https://www.amanatool.com/46125-k-spektra-solid-carbide-up-cut-spiral-1-8-dia-x-13-16-inch-x-1-4-shank.html""}"
